P#,Document,Extension,Jenis,SortCategory,Category,SortTopic,Topic,Date,LastUpdated,MIMEType,Size,ID,url
8,Penyampaian e-SPT bagi WP KPP Madya KPP WP Besar KPP PMA KPP Badora,,KUP,3,SPT,1,Ketentuan Terkait SPT,Mon Feb 17 2020 16:23:48 GMT+0800 (HKT),Thu Feb 20 2020 09:56:59 GMT+0800 (HKT),document,0,1QA0w5kwcjAVHpVJ7eLlS9x9fDmJuDaMoHbvDeh5ZUw0,https://docs.google.com/document/d/1QA0w5kwcjAVHpVJ7eLlS9x9fDmJuDaMoHbvDeh5ZUw0/edit?usp=drivesdk
13,Laporan Per Negara (Country by Country Report),,KUP,3,SPT,1,Ketentuan Terkait SPT,Mon Feb 17 2020 16:22:17 GMT+0800 (HKT),Mon Feb 17 2020 16:29:29 GMT+0800 (HKT),document,0,1xNl3jHdoY7v4cVzkDuPwGsIK9qkrlwEAByIdeLuXih4,https://docs.google.com/document/d/1xNl3jHdoY7v4cVzkDuPwGsIK9qkrlwEAByIdeLuXih4/edit?usp=drivesdk
11,Penyedia Layanan SPT Elektronik - sebelum 20 Juni 2019,,KUP,3,SPT,1,Ketentuan Terkait SPT,Mon Feb 17 2020 16:24:06 GMT+0800 (HKT),Mon Feb 17 2020 16:29:11 GMT+0800 (HKT),document,0,1rAjtjyPvIcVeT6AuCOKF2nWcseGGTjlYWzRPGr76n4w,https://docs.google.com/document/d/1rAjtjyPvIcVeT6AuCOKF2nWcseGGTjlYWzRPGr76n4w/edit?usp=drivesdk
10,Pengungkapan ketidakbenaran Pengisian SPT & Pengungkapan Ketidakbenaran Perbuatan WP,,KUP,3,SPT,1,Ketentuan Terkait SPT,Mon Feb 17 2020 16:24:51 GMT+0800 (HKT),Mon Feb 17 2020 16:29:03 GMT+0800 (HKT),document,0,1qlSPyz9HfyvyCpTP1oXhsmn5fwPxq99NjDruZ3Pas2E,https://docs.google.com/document/d/1qlSPyz9HfyvyCpTP1oXhsmn5fwPxq99NjDruZ3Pas2E/edit?usp=drivesdk
9,Pembetulan SPT,,KUP,3,SPT,1,Ketentuan Terkait SPT,Mon Feb 17 2020 16:25:05 GMT+0800 (HKT),Mon Feb 17 2020 16:28:52 GMT+0800 (HKT),document,0,12rnrWJugMRSWhas2uRUfv1hOL__PSRmwUmCARKEcTOY,https://docs.google.com/document/d/12rnrWJugMRSWhas2uRUfv1hOL__PSRmwUmCARKEcTOY/edit?usp=drivesdk
7,Perpanjangan Penyampaian SPT Tahunan,,KUP,3,SPT,1,Ketentuan Terkait SPT,Mon Feb 17 2020 16:23:17 GMT+0800 (HKT),Mon Feb 17 2020 16:28:36 GMT+0800 (HKT),document,0,112wjgxJFGtC1v6EH9DIg3O9n6aqk4gsM7VQs7N9Dhtw,https://docs.google.com/document/d/112wjgxJFGtC1v6EH9DIg3O9n6aqk4gsM7VQs7N9Dhtw/edit?usp=drivesdk
6,Pengangsuran dan Penundaan pembayaran SPT Tahunan PPh,,KUP,3,SPT,1,Ketentuan Terkait SPT,Mon Feb 17 2020 16:22:57 GMT+0800 (HKT),Mon Feb 17 2020 16:28:02 GMT+0800 (HKT),document,0,10z0O79G0R3l3mfOCJHc1S3mzNAkAGOXlb6RNwexvp4Y,https://docs.google.com/document/d/10z0O79G0R3l3mfOCJHc1S3mzNAkAGOXlb6RNwexvp4Y/edit?usp=drivesdk
5,Sanksi Keterlambatan Pembayaran dan Pelaporan SPT,,KUP,3,SPT,1,Ketentuan Terkait SPT,Mon Feb 17 2020 16:22:37 GMT+0800 (HKT),Mon Feb 17 2020 16:27:54 GMT+0800 (HKT),document,0,1qOgaKFCegO7a7Nw7QkMupU0ExK2J_VuS9xIVf6QiVkk,https://docs.google.com/document/d/1qOgaKFCegO7a7Nw7QkMupU0ExK2J_VuS9xIVf6QiVkk/edit?usp=drivesdk
4,"Batas Waktu Pembayaran, Penyetoran, Penyampaian SPT, dan Sanksi Keterlambatan",,KUP,3,SPT,1,Ketentuan Terkait SPT,Mon Feb 17 2020 16:23:25 GMT+0800 (HKT),Mon Feb 17 2020 16:27:45 GMT+0800 (HKT),document,0,1VDbIj9ll4v08XdA16uqBsyto9azMcnh9WObOFlYJI7Q,https://docs.google.com/document/d/1VDbIj9ll4v08XdA16uqBsyto9azMcnh9WObOFlYJI7Q/edit?usp=drivesdk
1,Ketentuan Umum terkait NPWP,1,KUP,2,NPWP dan PKP,,,Mon Feb 17 2020 15:17:54 GMT+0800 (HKT),Wed Mar 04 2020 10:06:17 GMT+0800 (HKT),document,0,1lYz1ALKWWlDRWx0PV1lN-64t5e8Zi3_9N8QIGNwb9DE,https://docs.google.com/document/d/1lYz1ALKWWlDRWx0PV1lN-64t5e8Zi3_9N8QIGNwb9DE/edit?usp=drivesdk
9,Pencabutan Pengukuhan PKP secara Jabatan atas Pengusaha Kecil 2014,1,KUP,2,NPWP dan PKP,1,Ketentuan setelah 30 Mei 2013,Mon Feb 17 2020 15:19:53 GMT+0800 (HKT),Wed Mar 04 2020 10:04:12 GMT+0800 (HKT),document,0,1gnDZyAlA_yOwA76UPgY-KWi8CQ0RClTfNHQttdySvyw,https://docs.google.com/document/d/1gnDZyAlA_yOwA76UPgY-KWi8CQ0RClTfNHQttdySvyw/edit?usp=drivesdk
8,Penetapan WP Sebagai WP Non Efektif,1,KUP,2,NPWP dan PKP,1,Ketentuan setelah 30 Mei 2013,Mon Feb 17 2020 15:19:53 GMT+0800 (HKT),Wed Mar 04 2020 10:04:01 GMT+0800 (HKT),document,0,1a952cIYvZ8ED0vh7bCj4kLS9cgLnV__Yp9YT4gWCzbg,https://docs.google.com/document/d/1a952cIYvZ8ED0vh7bCj4kLS9cgLnV__Yp9YT4gWCzbg/edit?usp=drivesdk
7,Pemindahan WP,1,KUP,2,NPWP dan PKP,1,Ketentuan setelah 30 Mei 2013,Mon Feb 17 2020 15:19:53 GMT+0800 (HKT),Wed Mar 04 2020 10:03:52 GMT+0800 (HKT),document,0,1k1XMr409M1bGalTVu_IuZi9IDeiryWU8HLvW7H450XE,https://docs.google.com/document/d/1k1XMr409M1bGalTVu_IuZi9IDeiryWU8HLvW7H450XE/edit?usp=drivesdk
6,Perubahan Data WP Dan_Atau PKP,1,KUP,2,NPWP dan PKP,1,Ketentuan setelah 30 Mei 2013,Mon Feb 17 2020 15:19:53 GMT+0800 (HKT),Wed Mar 04 2020 10:03:37 GMT+0800 (HKT),document,0,1sR8wReapDpIkr3iRxY41mLKNb96_1o_naK2nK3j2H7A,https://docs.google.com/document/d/1sR8wReapDpIkr3iRxY41mLKNb96_1o_naK2nK3j2H7A/edit?usp=drivesdk
5,Pencabutan Pengukuhan PKP,1,KUP,2,NPWP dan PKP,1,Ketentuan setelah 30 Mei 2013,Mon Feb 17 2020 15:19:53 GMT+0800 (HKT),Wed Mar 04 2020 10:02:31 GMT+0800 (HKT),document,0,1nRNdJvWzduMPVOcqIJPygz7GP_kPijJUY1vyaq06gzE,https://docs.google.com/document/d/1nRNdJvWzduMPVOcqIJPygz7GP_kPijJUY1vyaq06gzE/edit?usp=drivesdk
4,Pengukuhan PKP,1,KUP,2,NPWP dan PKP,1,Ketentuan setelah 30 Mei 2013,Mon Feb 17 2020 15:19:53 GMT+0800 (HKT),Wed Mar 04 2020 10:02:11 GMT+0800 (HKT),document,0,1IgCXrKSulAQ9L6H7zHE3r-f38qhFKKvatghj3YCgf9w,https://docs.google.com/document/d/1IgCXrKSulAQ9L6H7zHE3r-f38qhFKKvatghj3YCgf9w/edit?usp=drivesdk
3,Penghapusan NPWP,1,KUP,2,NPWP dan PKP,1,Ketentuan setelah 30 Mei 2013,Mon Feb 17 2020 15:19:53 GMT+0800 (HKT),Wed Mar 04 2020 10:02:02 GMT+0800 (HKT),document,0,1Tl9C3-lHYGQTQhry958j0-dtrrdvU_jjN-mO9fPrjoo,https://docs.google.com/document/d/1Tl9C3-lHYGQTQhry958j0-dtrrdvU_jjN-mO9fPrjoo/edit?usp=drivesdk
2,Pendaftaran NPWP,1,KUP,2,NPWP dan PKP,1,Ketentuan setelah 30 Mei 2013,Mon Feb 17 2020 15:19:53 GMT+0800 (HKT),Wed Mar 04 2020 10:01:50 GMT+0800 (HKT),document,0,1WbL9xezKJnPnesxJ0IetKsZY3KA7UVKkcA3Se3rPzOc,https://docs.google.com/document/d/1WbL9xezKJnPnesxJ0IetKsZY3KA7UVKkcA3Se3rPzOc/edit?usp=drivesdk
1,NPWP bagi Wanita Kawin,1,KUP,2,NPWP dan PKP,1,Ketentuan setelah 30 Mei 2013,Mon Feb 17 2020 15:19:53 GMT+0800 (HKT),Wed Mar 04 2020 10:01:41 GMT+0800 (HKT),document,0,1xC4tJl0gv9zkh1CGRbEzNqYKywAWKF37njMWT-Y2YMg,https://docs.google.com/document/d/1xC4tJl0gv9zkh1CGRbEzNqYKywAWKF37njMWT-Y2YMg/edit?usp=drivesdk
3,Pencabutan PKP,1,KUP,2,NPWP dan PKP,3,Ketentuan Sejak 30 September 2015,Mon Feb 17 2020 15:21:46 GMT+0800 (HKT),Wed Mar 04 2020 10:05:04 GMT+0800 (HKT),document,0,1CwN6GqElUyvFNHDBlwKTGroT243gKq1vBtfTpeSvLTQ,https://docs.google.com/document/d/1CwN6GqElUyvFNHDBlwKTGroT243gKq1vBtfTpeSvLTQ/edit?usp=drivesdk
2,Penghapusan NPWP,1,KUP,2,NPWP dan PKP,3,Ketentuan Sejak 30 September 2015,Mon Feb 17 2020 15:21:46 GMT+0800 (HKT),Wed Mar 04 2020 10:04:58 GMT+0800 (HKT),document,0,1Onc91UFrLgcQ00eKmiff13fKm40K1cQ8WU47g5TUwxM,https://docs.google.com/document/d/1Onc91UFrLgcQ00eKmiff13fKm40K1cQ8WU47g5TUwxM/edit?usp=drivesdk
1,Pendaftaran NPWP dan Pengukuhan PKP,1,KUP,2,NPWP dan PKP,3,Ketentuan Sejak 30 September 2015,Mon Feb 17 2020 15:21:46 GMT+0800 (HKT),Wed Mar 04 2020 10:04:44 GMT+0800 (HKT),document,0,1aEBfznoN7hsqspHMLahacIvFewZF71rvBFLjHEQ0TIs,https://docs.google.com/document/d/1aEBfznoN7hsqspHMLahacIvFewZF71rvBFLjHEQ0TIs/edit?usp=drivesdk
2,Penghapusan NPWP,1,KUP,2,NPWP dan PKP,4,Ketentuan Sejak 1 November 2017,Mon Feb 17 2020 15:23:02 GMT+0800 (HKT),Wed Mar 04 2020 10:04:32 GMT+0800 (HKT),document,0,1ZQnT37x5UK0a2uPKSmgE2nJWHaMFrw5KX0HyezIM8jo,https://docs.google.com/document/d/1ZQnT37x5UK0a2uPKSmgE2nJWHaMFrw5KX0HyezIM8jo/edit?usp=drivesdk
1,Pendaftaran NPWP dan Pengukuhan PKP,1,KUP,2,NPWP dan PKP,4,Ketentuan Sejak 1 November 2017,Mon Feb 17 2020 15:23:02 GMT+0800 (HKT),Wed Mar 04 2020 10:04:26 GMT+0800 (HKT),document,0,145gN51Z4irLGiDjXgwMNr92CclxWZ9Ud4hMofMkhOwM,https://docs.google.com/document/d/145gN51Z4irLGiDjXgwMNr92CclxWZ9Ud4hMofMkhOwM/edit?usp=drivesdk
11,Dokumen yang Wajib Disimpan oleh Wajib Pajak yang Melakukan Transaksi dengan Pihak Afiliasi,1,KUP,1,Umum,,,Sun Feb 16 2020 16:55:37 GMT+0800 (HKT),Fri Mar 06 2020 06:38:35 GMT+0800 (HKT),document,0,1HCmfCsithBVCnn_JY50xreldyLFpxiDmodvW-igrNzc,https://docs.google.com/document/d/1HCmfCsithBVCnn_JY50xreldyLFpxiDmodvW-igrNzc/edit?usp=drivesdk
10,Konfirmasi Status Wajib Pajak,1,KUP,1,Umum,,,Sun Feb 16 2020 16:55:37 GMT+0800 (HKT),Wed Mar 04 2020 10:00:45 GMT+0800 (HKT),document,0,1RXOZuvhpwXjlwxV_R2y-rjN8WAmzvCo-LrKspYWaJD0,https://docs.google.com/document/d/1RXOZuvhpwXjlwxV_R2y-rjN8WAmzvCo-LrKspYWaJD0/edit?usp=drivesdk
8,Jenis Pelayanan Kepada WP yang Diberikan oleh KPP dan Kanwil DJP,1,KUP,1,Umum,,,Sun Feb 16 2020 16:55:37 GMT+0800 (HKT),Wed Mar 04 2020 10:00:36 GMT+0800 (HKT),document,0,1EWRslnyV3flDq7B-mMKHql-U811ZIhsJs0KNNSl-Pb8,https://docs.google.com/document/d/1EWRslnyV3flDq7B-mMKHql-U811ZIhsJs0KNNSl-Pb8/edit?usp=drivesdk
7,Penentuan SPDN dan SPLN,1,KUP,1,Umum,,,Sun Feb 16 2020 16:55:37 GMT+0800 (HKT),Wed Mar 04 2020 09:55:19 GMT+0800 (HKT),document,0,103A_2ERA3flUOFYqn7ixMtoZgYpIfRvaAscJa3-CqGs,https://docs.google.com/document/d/103A_2ERA3flUOFYqn7ixMtoZgYpIfRvaAscJa3-CqGs/edit?usp=drivesdk
6,Surat Kuasa Khusus,1,KUP,1,Umum,,,Sun Feb 16 2020 16:55:37 GMT+0800 (HKT),Wed Mar 04 2020 09:55:03 GMT+0800 (HKT),document,0,1Af3L0l_qrMi2-gY_RJMrsdY7KaCs8Y6gzcAQlbaoHQ4,https://docs.google.com/document/d/1Af3L0l_qrMi2-gY_RJMrsdY7KaCs8Y6gzcAQlbaoHQ4/edit?usp=drivesdk
5,Permintaan Penjelasan atas Data dan atau Keterangan dan Kunjungan (Visit) kepada Wajib Pajak,1,KUP,1,Umum,,,Sun Feb 16 2020 16:55:37 GMT+0800 (HKT),Wed Mar 04 2020 09:54:46 GMT+0800 (HKT),document,0,1v7TEDP-YeUNyDk31YeU1aPPM6U5bgHAgmZFhhsNvDWs,https://docs.google.com/document/d/1v7TEDP-YeUNyDk31YeU1aPPM6U5bgHAgmZFhhsNvDWs/edit?usp=drivesdk
4,Surat Keterangan Fiskal,1,KUP,1,Umum,,,Sun Feb 16 2020 16:55:37 GMT+0800 (HKT),Wed Mar 04 2020 09:54:22 GMT+0800 (HKT),document,0,1SLzz2P6KAWveORmXSgU-mfqtVZvW-3czrSK_XFNkOhg,https://docs.google.com/document/d/1SLzz2P6KAWveORmXSgU-mfqtVZvW-3czrSK_XFNkOhg/edit?usp=drivesdk
3,DJPOnline,1,KUP,1,Umum,,,Sun Feb 16 2020 16:55:37 GMT+0800 (HKT),Wed Mar 04 2020 09:53:51 GMT+0800 (HKT),document,0,1xncNXfuHFVDzP9zsu3WLCpECmAss95vC-Hf7wZRPs-c,https://docs.google.com/document/d/1xncNXfuHFVDzP9zsu3WLCpECmAss95vC-Hf7wZRPs-c/edit?usp=drivesdk
2,KLU,1,KUP,1,Umum,,,Sun Feb 16 2020 16:54:27 GMT+0800 (HKT),Wed Mar 04 2020 09:53:10 GMT+0800 (HKT),document,0,1EVw-TjsEq6GkCPNAeeymWGc2HH-yWG7An99qBagERUU,https://docs.google.com/document/d/1EVw-TjsEq6GkCPNAeeymWGc2HH-yWG7An99qBagERUU/edit?usp=drivesdk
1,Saat Dimulainya Kewajiban Perpajakan,1,KUP,1,Umum,,,Sun Feb 16 2020 16:53:27 GMT+0800 (HKT),Wed Mar 04 2020 09:53:05 GMT+0800 (HKT),document,0,11FCfLQlQEKa5gdF3Hhw2abXG5zW9QhAm2f1PMLKKoiM,https://docs.google.com/document/d/11FCfLQlQEKa5gdF3Hhw2abXG5zW9QhAm2f1PMLKKoiM/edit?usp=drivesdk
12,Wakil Wajib Pajak,png,KUP,1,Umum,,,Sun Feb 16 2020 16:57:48 GMT+0800 (HKT),Tue Feb 18 2020 14:29:43 GMT+0800 (HKT),image/png,467673,1XKyxltayqXa7Qw9mdXXbM-FaUSRM7vvU,https://drive.google.com/file/d/1XKyxltayqXa7Qw9mdXXbM-FaUSRM7vvU/view?usp=drivesdk
13,SKUP-05 Hak & Kewajiban WP OP,pptx,KUP,1,Umum,,,Mon Feb 17 2020 09:39:49 GMT+0800 (HKT),Tue Feb 18 2020 08:47:25 GMT+0800 (HKT),application/vnd.openxmlformats-officedocument.presentationml.presentation,17788954,183iaciKnsjoCpJflWi1Tj8PTtTCQZg4T,https://drive.google.com/file/d/183iaciKnsjoCpJflWi1Tj8PTtTCQZg4T/view?usp=drivesdk
