P#,Document,Extension,Jenis,SortCategory,Category,SortTopic,Topic,Date,LastUpdated,MIMEType,Size,ID,url
3,Pembukuan,,KUP,8,Pembukuan,,,Tue Feb 18 2020 09:45:50 GMT+0800 (HKT),Tue Feb 18 2020 09:48:42 GMT+0800 (HKT),document,0,1srH4olkIvT1QqXGR_yRxyorf1KFXaFkm-9mQolMqUmQ,https://docs.google.com/document/d/1srH4olkIvT1QqXGR_yRxyorf1KFXaFkm-9mQolMqUmQ/edit?usp=drivesdk
2,Perubahan Metode Pembukuan dan atau Tahun Buku,,KUP,8,Pembukuan,,,Tue Feb 18 2020 09:45:43 GMT+0800 (HKT),Tue Feb 18 2020 09:48:42 GMT+0800 (HKT),document,0,1rCoTWm4IcL6dDxAHCjPV2uAmA-fo2nm1QWm2_AynC9w,https://docs.google.com/document/d/1rCoTWm4IcL6dDxAHCjPV2uAmA-fo2nm1QWm2_AynC9w/edit?usp=drivesdk
1,Pasal 16 KUP : Pembetulan STP Surat Ketetapan Keputusan Pajak,,KUP,7,"Banding, Gugatan, dan Peninjauan Kembali",,,Tue Feb 18 2020 09:26:24 GMT+0800 (HKT),Thu Feb 20 2020 09:54:18 GMT+0800 (HKT),document,0,16_sKccsdiAF8ws7Yzfow3GC7YXelLCZuGZReB7-DJRc,https://docs.google.com/document/d/16_sKccsdiAF8ws7Yzfow3GC7YXelLCZuGZReB7-DJRc/edit?usp=drivesdk
2,Gugatan,,KUP,7,"Banding, Gugatan, dan Peninjauan Kembali",,,Tue Feb 18 2020 09:26:31 GMT+0800 (HKT),Tue Feb 18 2020 09:35:08 GMT+0800 (HKT),document,0,1lJE-ipbltznaiXYLGu--006cmF9F0FmCdxljUlVQIJw,https://docs.google.com/document/d/1lJE-ipbltznaiXYLGu--006cmF9F0FmCdxljUlVQIJw/edit?usp=drivesdk
3,Pasal 27 UU KUP : Banding,,KUP,7,"Banding, Gugatan, dan Peninjauan Kembali",,,Tue Feb 18 2020 09:26:16 GMT+0800 (HKT),Tue Feb 18 2020 09:35:07 GMT+0800 (HKT),document,0,1jBszMmdPImTGdpOalUcmY3Z2AEGTT9A6Elye5P7NG7M,https://docs.google.com/document/d/1jBszMmdPImTGdpOalUcmY3Z2AEGTT9A6Elye5P7NG7M/edit?usp=drivesdk
4,Peninjauan Kembali,,KUP,7,"Banding, Gugatan, dan Peninjauan Kembali",,,Tue Feb 18 2020 09:25:01 GMT+0800 (HKT),Tue Feb 18 2020 09:25:13 GMT+0800 (HKT),document,0,1nIrysXd25X24pvRGSEDOCdi5fn2k5Xm1NZTe2PKpGWs,https://docs.google.com/document/d/1nIrysXd25X24pvRGSEDOCdi5fn2k5Xm1NZTe2PKpGWs/edit?usp=drivesdk
9,Pengurangan Sanksi Administrasi dalam SKP SKP PBB dan atau STP yang diterbitkan pada tahun 2015,,KUP,7,"Banding, Gugatan, dan Peninjauan Kembali",1,Pasal 36 UU KUP,Tue Feb 18 2020 09:25:54 GMT+0800 (HKT),Thu Feb 20 2020 09:54:55 GMT+0800 (HKT),document,0,1M8H63fNe3fJ0oEfckeMzMIQQuRgvh6bw2-bU99_SVaU,https://docs.google.com/document/d/1M8H63fNe3fJ0oEfckeMzMIQQuRgvh6bw2-bU99_SVaU/edit?usp=drivesdk
2,Ketentuan terkait Pasal 36 UU KUP Sejak 1 Maret 2013,,KUP,7,"Banding, Gugatan, dan Peninjauan Kembali",1,Pasal 36 UU KUP,Tue Feb 18 2020 09:24:49 GMT+0800 (HKT),Tue Feb 18 2020 09:37:44 GMT+0800 (HKT),document,0,1y0MMaUhvpaPotmRk2caCBFXmRUaSygVJBBP48sPk1A8,https://docs.google.com/document/d/1y0MMaUhvpaPotmRk2caCBFXmRUaSygVJBBP48sPk1A8/edit?usp=drivesdk
7,Penghapusan Sanksi Administrasi Bunga Pasal 19 ayat (1) UU KUP,,KUP,7,"Banding, Gugatan, dan Peninjauan Kembali",1,Pasal 36 UU KUP,Tue Feb 18 2020 09:26:10 GMT+0800 (HKT),Tue Feb 18 2020 09:37:43 GMT+0800 (HKT),document,0,1kLsvc_-Z_IJrXatfDAA0yfOnd-LfzSmlx9cvzeCmT8s,https://docs.google.com/document/d/1kLsvc_-Z_IJrXatfDAA0yfOnd-LfzSmlx9cvzeCmT8s/edit?usp=drivesdk
4,Pengurangan atau Pembatalan SKP yang Tidak Benar,,KUP,7,"Banding, Gugatan, dan Peninjauan Kembali",1,Pasal 36 UU KUP,Tue Feb 18 2020 09:26:02 GMT+0800 (HKT),Tue Feb 18 2020 09:37:40 GMT+0800 (HKT),document,0,1f3TR1q3Kw3T-5Ly4IV-t3y8crxnsWKz5TYHvy25VAns,https://docs.google.com/document/d/1f3TR1q3Kw3T-5Ly4IV-t3y8crxnsWKz5TYHvy25VAns/edit?usp=drivesdk
